Id,Text,PostId,PostLink
63151312,"The selected answer is outdated. Please look at <a href=""http://stackoverflow.com/a/28935447/1030208"">stackoverflow.com/a/28935447/1030208</a>",20450454,https://stackoverflow.com/questions/20450454/pushing-to-an-existing-aws-elastic-beanstalk-application-from-the-command-line#comment63151312_20450454
88715946,"How did you determine that the system is &quot;not able&quot; to do something? Why don&#39;t you check for error codes? Most probably, <a href=""https://stackoverflow.com/questions/12859942/why-shouldnt-i-use-mysql-functions-in-php""><code>mysql_query</code> is deprecated</a>",50856581,https://stackoverflow.com/questions/50856581/not-able-to-insert-data-to-mysql-database#comment88715946_50856581
60696908,"S3 endpoint services introduce in 11 MAY 2015, which allow user to do this.   Render this question obsolete/outdated.",1764988,https://stackoverflow.com/questions/1764988/amazon-s3-over-vpn#comment60696908_1764988
1489794,"1) The article is out of date - as you can see from the link I provided, App Engine now has dump/restore support.  If you want to back up an EBS volume on Amazon, you can take a snapshot of it, or you can download it - back it up in the same manner you would any other filesystem on any other system.",1620935,https://stackoverflow.com/questions/1620680/db-backup-options-for-cloud-dbs-like-amazon-esb-and-gae/1620935#comment1489794_1620935
66110914,"@MarkusK&#246;hler: Correct, had the same issue. Their docs on some places say otherwise: <a href=""http://docs.aws.amazon.com/lambda/latest/dg/setup-awscli.html"" rel=""nofollow noreferrer"">docs.aws.amazon.com/lambda/latest/dg/setup-awscli.html</a> (probably outdated)",36037124,https://stackoverflow.com/questions/34134879/aws-the-config-profile-myname-could-not-be-found/36037124#comment66110914_36037124
57807460,"Hmm, why does s3cmd have so much more functionality than aws cli yet it&#39;s deprecated????",16595208,https://stackoverflow.com/questions/8975959/aws-s3-how-do-i-see-how-much-disk-space-is-using/16595208#comment57807460_16595208
102530502,"Thank you. My end goal is to clean some data. There is a field in the DB called &#39;engagement&#39; which is used to track customers in AWS. The engagement tag is supposed to be mandatory but it&#39;s not enforced. So some resources have the tag, some have a blank engagement tag, some have bogus info (eg 12345678910) and some of the engagement tags become old and outdated and need to be replaced with the current engagement code. I want to import the bill containing this info from S3 into glue, replace the values I need, and then send it back to S3 for reading by Athena.",57812080,https://stackoverflow.com/questions/57812080/converting-a-mysql-update-statement-to-amazon-glue#comment102530502_57812080
57537226,"I have no experience with AWS, so this is just a guess. But the server is complainging that your client doesn&#39;t support <code>AWS4-HMAC-SHA256</code>, which is an amazon variation of a common part in encryption algorithms. Either your client doesn&#39;t support it (maybe it is outdated), or it is configured wrong.",34900057,https://stackoverflow.com/questions/34900057/unable-to-access-the-file-from-the-object-url#comment57537226_34900057
76359057,"I don&#39;t think so. <code>Expires</code> is essentially deprecated in RFC-7234 in favor of <code>Cache-Control</code>.   <a href=""https://tools.ietf.org/html/rfc7234#section-5.3"" rel=""nofollow noreferrer""><i>&quot;If a response includes a <code>Cache-Control</code> field with the <code>max-age</code>    directive, a recipient <code>MUST</code> ignore the Expires    field.&quot;</i></a>     See also  <a href=""https://developers.google.com/web/fundamentals/performance/optimizing-content-efficiency/http-caching"" rel=""nofollow noreferrer"">developers.google.com/web/fundamentals/performance/&hellip;</a>.",44685468,https://stackoverflow.com/questions/44674892/issue-with-gzipping-sync-of-aws-s3-cloudfront-and-my-server/44685468#comment76359057_44685468
103349458,Do you have any plugins installed that may be out of date ? Have they been out of date previously ? Has an old version of WP been running previously that might have installed a backdoor ? The point still stands though: Start fresh with a new uncompromised instance.,58505922,https://stackoverflow.com/questions/58500054/malware-installs-itself-again-and-again-autonomously/58505922#comment103349458_58505922
68890909,"You didn&#39;t mention you were using the <code>AWSLambdaAsyncClient</code> in your question. Looking at the javadocs for that class it says only <code>invokeAsyncAsync()</code> is deprecated. The <code>invokeAsync()</code> method you are using should be fine. <a href=""http://docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/services/lambda/AWSLambdaAsyncClient.html"" rel=""nofollow noreferrer"">docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/&zwnj;&#8203;&hellip;</a>",40836783,https://stackoverflow.com/questions/40836686/replacement-for-aws-lambda-invokeasync-deprecated/40836783#comment68890909_40836783
68890764,"So, the entire AWSLambdaAsyncClient is deprecated?  The Javadoc for AWSLambdaClient says that all service calls will block...",40836783,https://stackoverflow.com/questions/40836686/replacement-for-aws-lambda-invokeasync-deprecated/40836783#comment68890764_40836783
77233508,This answer was right at that moment but is obsolete now.,27700924,https://stackoverflow.com/questions/27557235/does-amazon-aws-ec2-container-service-support-volumes/27700924#comment77233508_27700924
90328315,"marshalling has been deprecated, use <code>DynamoDBTypeConverter </code> instead:  <a href=""https://docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/services/dynamodbv2/datamodeling/DynamoDBTypeConverted.html"" rel=""nofollow noreferrer"">docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/&zwnj;&#8203;&hellip;</a>",39625697,https://stackoverflow.com/questions/39588299/is-there-a-library-to-map-dynamo-db-mapstring-attributevalue-to-an-object/39625697#comment90328315_39625697
73129281,"<code>AmazonS3Client.setRegion()</code> is deprecated. Didn&#39;t you try to use <code>AwsClientBuilder.setRegion(String)</code>? <a href=""http://docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/client/builder/AwsClientBuilder.html#setRegion-java.lang.String-"" rel=""nofollow noreferrer"">docs.aws.amazon.com/AWSJavaSDK/latest/javadoc/com/amazonaws/&zwnj;&#8203;&hellip;</a>",43020026,https://stackoverflow.com/questions/43020026/how-to-set-region-for-an-amazons3-client#comment73129281_43020026
105657514,"We used for tests saucelabs.  Anyway, I guess, that AWS something doing with that, python2.7 is deprecated.",59755708,https://stackoverflow.com/questions/52871311/aws-device-farm-python3-support/59755708#comment105657514_59755708
49239000,"EDIT: The PHP - Soap Library is outdated: This is the new one <a href=""https://github.com/Exeu/apai-io"" rel=""nofollow noreferrer"">github.com/Exeu/apai-io</a>",25721960,https://stackoverflow.com/questions/25721960/amazon-product-advertising-api-newreleases-keword-search#comment49239000_25721960
44490903,"@darkcode maybe it&#39;s outdated but I found that: <a href=""http://stackoverflow.com/questions/18598920/how-can-i-set-the-log-output-level-for-chef-on-amazon-opsworks&amp;ved=0CCIQFjAD&amp;usg=AFQjCNHb4GNfK4X5FxPYcQIjLUwwiEjaWw&amp;sig2=JEdDVmDkLd3wtVlRKlMUaQ"" title=""how can i set the log output level for chef on amazon opsworks%26amp%3bved%3d0CCIQFjAD%26amp%3busg%3dAFQjCNHb4GNfK4X5FxPYcQIjLUwwiEjaWw%26amp%3bsig2%3dJEdDVmDkLd3wtVlRKlMUaQ"">stackoverflow.com/questions/18598920/&hellip;</a>",28047256,https://stackoverflow.com/questions/28041343/opsworks-deploy-error-chefexceptionschildconvergeerror/28047256#comment44490903_28047256
43905481,"The version 1 of the SDK is deprecated, so you should focus on the v2 SDK.  The timezone difference should not cause any issue, but a skewed device clock causes a timestamp too skewed exception in AWS Signature Version 4. The SDK should automatically fix the skewed clock issue. Have you printed out the content of <code>task.error</code>? Also, you should enable the verbose logging by calling <code>[AWSLogger defaultLogger].logLevel = AWSLogLevelVerbose;</code>.",27721587,https://stackoverflow.com/questions/27721587/can-anyone-suggest-me-the-effective-way-to-deal-with-s3-upload-fail-because-of-t#comment43905481_27721587
102022995,@theycallmemorty This answer was from well before it was deprecated. I&#39;ve updated it now for modern versions of node.,25111078,https://stackoverflow.com/questions/25110983/node-reading-file-in-specified-chunk-size/25111078#comment102022995_25111078
102022144,"Running this code today causes the following warning:  &quot;(node:25440) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.&quot;",25111078,https://stackoverflow.com/questions/25110983/node-reading-file-in-specified-chunk-size/25111078#comment102022144_25111078
102539975,"So if this is being deprecated, what do we use now?",48495770,https://stackoverflow.com/questions/40741282/cannot-use-requests-module-on-aws-lambda/48495770#comment102539975_48495770
92683330,"Passing access key and secret key as part of Bulk load is deprecated. You should first attach an IAM Role using AddRoleToCluster API and then mention the role name as an argument to bulk load. <a href=""https://docs.aws.amazon.com/neptune/latest/userguide/bulk-load-data.html"" rel=""nofollow noreferrer"">docs.aws.amazon.com/neptune/latest/userguide/&hellip;</a>",49521915,https://stackoverflow.com/questions/49088195/how-to-connect-query-to-aws-neptune-instance-using-http-post-get-request/49521915#comment92683330_49521915
84114934,"Can you provide me a link of this Sample App, the only thing I can find is several lines of code not conneted to each other, differents methods of doing something that looks silimar but not the same, and some outdated sample apps in Swift 2 that are not useful... thanks",48536001,https://stackoverflow.com/questions/48536001/how-to-get-login-username-with-aws-mobile-hub-sdk#comment84114934_48536001
